produto;classificao_produto;id_produto;uf;regiao;ano;mes;data_inicial_final_semana;semana;dsc_nivel_comercializacao;valor_produto_kg
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE             ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,32
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE             ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,32
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE             ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,32
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE             ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,32
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE             ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;2,41
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE             ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;2,41
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE             ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;2,41
00-18-18                 ;NÃO INFORMADO       ;10224;MT        ;CENTRO-OESTE             ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;2,41
00-20-20                 ;NÃO INFORMADO       ;4466;MT        ;CENTRO-OESTE             ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,39
00-20-20                 ;NÃO INFORMADO       ;4466;MT        ;CENTRO-OESTE             ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,39
00-20-20                 ;NÃO INFORMADO       ;4466;MT        ;CENTRO-OESTE             ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,39
00-20-20                 ;NÃO INFORMADO       ;4466;MT        ;CENTRO-OESTE             ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,39
00-20-30                 ;NÃO INFORMADO       ;8147;RS        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,92
00-20-30                 ;NÃO INFORMADO       ;8147;RS        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,92
00-20-30                 ;NÃO INFORMADO       ;8147;RS        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,92
00-20-30                 ;NÃO INFORMADO       ;8147;RS        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,92
02-20-18                 ;NÃO INFORMADO       ;14915;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,95
02-20-18                 ;NÃO INFORMADO       ;14915;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,95
02-20-18                 ;NÃO INFORMADO       ;14915;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,95
02-20-18                 ;NÃO INFORMADO       ;14915;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,95
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE             ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,86
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE             ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,86
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE             ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,86
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE             ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,86
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;PR        ;SUL                      ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,82
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;PR        ;SUL                      ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,82
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;PR        ;SUL                      ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,82
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;PR        ;SUL                      ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,82
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE             ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;3,36
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE             ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;3,36
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE             ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;3,36
02-20-18 + MICRONUTRIENTE;NÃO INFORMADO       ;6296;GO        ;CENTRO-OESTE             ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;3,36
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL                      ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,75
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL                      ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,75
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL                      ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,75
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL                      ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,75
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;3,02
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;3,02
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;3,02
02-20-20                 ;NÃO INFORMADO       ;4476;RS        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;3,02
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL                      ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;2,93
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL                      ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;2,93
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL                      ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;2,93
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL                      ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;2,93
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;3,18
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;3,18
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;3,18
02-23-23                 ;NÃO INFORMADO       ;11824;RS        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;3,18
02-28-16                 ;NÃO INFORMADO       ;13762;GO        ;CENTRO-OESTE             ;2025;12;01-12-2025 - 05-12-2025  ;1;PREÇO PAGO PELO PROD;3,12
02-28-20                 ;NÃO INFORMADO       ;12700;PR        ;SUL                      ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,7
02-28-20                 ;NÃO INFORMADO       ;12700;PR        ;SUL                      ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,7
02-28-20                 ;NÃO INFORMADO       ;12700;PR        ;SUL                      ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,7
02-28-20                 ;NÃO INFORMADO       ;12700;PR        ;SUL                      ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,7
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL                      ;2025;11;03-11-2025 - 07-11-2025  ;1;PREÇO PAGO PELO PROD;4,18
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL                      ;2025;11;24-11-2025 - 28-11-2025  ;4;PREÇO PAGO PELO PROD;4,18
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL                      ;2025;11;10-11-2025 - 14-11-2025  ;2;PREÇO PAGO PELO PROD;4,18
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL                      ;2025;11;17-11-2025 - 21-11-2025  ;3;PREÇO PAGO PELO PROD;4,18
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;4,04
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;4,04
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;4,04
03-21-21                 ;YARA YARA BASA ROBUS;14765;PR        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;4,04
03-30-15                 ;NÃO INFORMADO       ;4479;SC        ;SUL                      ;2026;3;16-03-2026 - 20-03-2026  ;3;PREÇO PAGO PELO PROD;3,89
03-30-15                 ;NÃO INFORMADO       ;4479;SC        ;SUL                      ;2026;3;09-03-2026 - 13-03-2026  ;2;PREÇO PAGO PELO PROD;3,89
03-30-15                 ;NÃO INFORMADO       ;4479;SC        ;SUL                      ;2026;3;23-03-2026 - 27-03-2026  ;4;PREÇO PAGO PELO PROD;3,89
03-30-15                 ;NÃO INFORMADO       ;4479;SC        ;SUL                      ;2026;3;02-03-2026 - 06-03-2026  ;1;PREÇO PAGO PELO PROD;3,89
04-14-07                 ;NÃO INFORMADO       ;13001;ES        ;SUDESTE                  ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;2,8
04-14-07                 ;NÃO INFORMADO       ;13001;ES        ;SUDESTE                  ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;2,8
04-14-07                 ;NÃO INFORMADO       ;13001;ES        ;SUDESTE                  ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;2,8
04-14-07                 ;NÃO INFORMADO       ;13001;ES        ;SUDESTE                  ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;2,8
04-14-08                 ;NÃO INFORMADO       ;4480;RS        ;SUL                      ;2025;8;25-08-2025 - 29-08-2025  ;4;PREÇO PAGO PELO PROD;2,53
04-14-08                 ;NÃO INFORMADO       ;4480;RS        ;SUL                      ;2025;8;04-08-2025 - 08-08-2025  ;1;PREÇO PAGO PELO PROD;2,53
04-14-08                 ;NÃO INFORMADO       ;4480;RS        ;SUL                      ;2025;8;18-08-2025 - 22-08-2025  ;3;PREÇO PAGO PELO PROD;2,53
04-14-08                 ;NÃO INFORMADO       ;4480;RS        ;SUL                      ;2025;8;11-08-2025 - 15-08-2025  ;2;PREÇO PAGO PELO PROD;2,53
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2025;9;22-09-2025 - 26-09-2025  ;4;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2025;9;08-09-2025 - 12-09-2025  ;2;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;BA        ;NORDESTE                 ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,12
04-14-08                 ;NÃO INFORMADO       ;4480;MG        ;SUDESTE                  ;2025;9;01-09-2025 - 05-09-2025  ;1;PREÇO PAGO PELO PROD;3,2
04-14-08                 ;NÃO INFORMADO       ;4480;MG        ;SUDESTE                  ;2025;9;15-09-2025 - 19-09-2025  ;3;PREÇO PAGO PELO PROD;3,2
