id_ano_comercializacao;id_mes_comercializacao;municipio_origem_produto;cod_ibge_municipio_origem_produto;uf_origem_produto;dsc_ceasa;uf_ceasa;municipio_ceasa;cod_ibge_municipio_ceasa;dsc_produto;qtd_comercializada_kg;valor_comercializado;pais_origem
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;PESSEGO IMPORTADO             ;17700;222312,0;Uruguai                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/SP - CAMPINAS                     ;SP;CAMPINAS-SP                             ;3509502                       ;ALHO IMPORTADO                ;25000;411852,5;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;UVA IMPORTADA                 ;2160;21600,0;Itália                                  
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;KIWI IMPORTADO                ;12610;190690,0;Itália                                  
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;TAMARA                        ;40;1440,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;LIMAO IMPORTADO               ;200;1000,0;Chile                                   
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;MACA RED DELICIOUS            ;1729;11830,0;Chile                                   
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;ALHO IMPORTADO                ;12000;192000,0;China                                   
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;MACA GRAND SMITH              ;6520;51667,53;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;AMEIXA IMPORT                 ;26467;351056,86;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;ALHO IMPORTADO                ;530;9010,0;Espanha                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;PERA IMPORTADA                ;74240;436531,2;Uruguai                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/PR - CURITIBA                     ;PR;CURITIBA-PR                             ;4106902                       ;NECTARINA IMPORTADA           ;90;1000,0;Chile                                   
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;MACA GALA                     ;11180;83850,0;Chile                                   
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;TANGERINA IMP                 ;159360;878073,6;Uruguai                                 
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;UVA IMPORTADA                 ;12712;135001,44;Chile                                   
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEAGESP - SAO PAULO                     ;SP;SÃO PAULO-SP                            ;3550308                       ;MACA RED DELICIOUS            ;65620;498712,0;Chile                                   
2021;7;NÃO INFORMADO                           ;9999999                       ;NI;CEASA/RS - PORTO ALEGRE                 ;RS;PORTO ALEGRE-RS                         ;4314902                       ;PESSEGO IMPORTADO             ;9169;64880,0;Espanha                                 
2021;7;NÃO INFORMADO                  
