codigo_estacao,nome,sigla_uf,regiao_inmet,lat,lon,altitude,ano_primeiro,ano_ultimo,n_anos,data_fundacao
A425,LENCOIS,BA,NE,-12.55777777,-41.38888888,438.09,2014,2026,13,2008-04-05
A426,GUANAMBI,BA,NE,-14.20805555,-42.74972221,552.23,2014,2026,13,2008-04-24
A427,PORTO SEGURO,BA,NE,-16.38888888,-39.18249999,86.36,2014,2026,13,2008-07-10
A428,SENHOR DO BONFIM,BA,NE,-10.44305555,-40.14833333,532.09,2014,2026,13,2008-03-27
A429,BARRA,BA,NE,-11.08472221,-43.13888888,407.5,2014,2026,13,2008-05-12
A430,PIATA,BA,NE,-13.15555555,-41.77416666,1283.95,2014,2026,13,2008-05-03
A431,CONDE,BA,NE,-12.03583333,-37.68388888,31.9,2014,2026,13,2008-04-07
A432,BURITIRAMA,BA,NE,-10.72305554,-43.65111111,506.06,2014,2026,13,2008-05-15
A433,BRUMADO,BA,NE,-14.18194443,-41.67222221,473.37,2014,2026,13,2008-04-28
A434,AMARGOSA,BA,NE,-13.00944444,-39.61694443,397.8,2014,2026,13,2008-07-11
A435,UAUA,BA,NE,-9.8336111,-39.49555555,450.6,2014,2021,8,2008-05-20
A436,QUEIMADAS,BA,NE,-10.98472221,-39.61694443,310.11,2014,2026,13,2008-05-23
A437,UNA,BA,NE,-15.28027777,-39.09138888,74.08,2014,2026,13,2008-06-25
A438,MARAU,BA,NE,-13.90694444,-38.97222221,6.24,2014,2026,13,2008-06-22
A439,IBOTIRAMA,BA,NE,-12.19305555,-43.21333333,425.12,2014,2026,13,2008-04-28
A440,JACOBINA,BA,NE,-11.205,-40.465,440.78,2014,2026,13,2008-05-01
A441,SERRINHA,BA,NE,-11.66472222,-39.02305554,337.79,2014,2026,13,2008-05-09
A442,EUCLIDES DA CUNHA,BA,NE,-10.53722221,-38.99666666,431.96,2014,2026,13,2008-03-31
A443,DELFINO,BA,NE,-10.455,-41.20694444,646.24,2014,2026,13,2008-07-15
A444,VALENCA,BA,NE,-13.3436111,-39.12666666,93.12,2014,2026,13,2009-06-29
A445,IPIAU,BA,NE,-14.17138888,-39.69249999,132.11,2014,2026,13,2009-06-30
A446,ITAPETINGA,BA,NE,-15.24472221,-40.22944443,271.48,2014,2026,13,2009-06-25
A447,BELMONTE,BA,NE,-16.08805555,-39.21527777,89.67,2014,2026,13,2009-07-02
A448,CURACA,BA,NE,-9.00138888,-39.9125,370.0,2015,2026,12,2015-08-20
A449,PILAO ARCADO,BA,NE,-10.01833332,-42.50027777,385.0,2016,2022,7,2016-05-28
A450,JEREMOABO,BA,NE,-10.08083332,-38.34583333,261.0,2015,2026,12,2015-08-13
A452,FORMOSA DO RIO PRETO,BA,NE,-11.05222222,-45.20083333,488.0,2016,2026,11,2016-06-02
A454,MACAUBAS,BA,NE,-13.03888888,-42.61722221,574.0,2016,2018,3,2016-04-07
A455,ITAMARAJU,BA,NE,-17.00694444,-39.55805555,110.0,2016,2026,11,2016-05-28
A456,SALVADOR (RADIO FAROL),BA,NE,-12.80833333,-38.49583333,31.0,2018,2026,9,2018-03-10
A458,RIBEIRA DO AMPARO,BA,NE,-11.05861111,-38.44416666,182.0,2018,2026,9,2018-09-20
A472,ACAJUTIBA,BA,NE,-11.65444444,-38.01583333,182.0,2026,2026,1,2026-05-09
A305,FORTALEZA,CE,NE,-3.81583333,-38.53777777,29.55,2014,2025,12,2003-02-18
A306,SOBRAL,CE,NE,-3.74805555,-40.34583333,92.07,2014,2026,13,2003-02-12
A314,GUARAMIRANGA,CE,NE,-4.22916666,-38.95888888,865.53,2014,2026,13,2007-05-26
A315,BARBALHA,CE,NE,-7.30083333,-39.2711111,409.41,2014,2026,13,2007-05-31
A319,IGUATU,CE,NE,-6.39638888,-39.26888888,221.56,2014,2026,13,2007-05-30
A324,TAUA,CE,NE,-6.01749999,-40.28138888,410.87,2014,2026,13,2007-07-12
A325,QUIXERAMOBIM,CE,NE,-5.17444443,-39.28944444,221.04,2014,2026,13,2007-07-09
A332,MORADA NOVA,CE,NE,-5.0911111,-38.36472222,93.0,2014,2026,13,2007-08-24
A339,JAGUARUANA,CE,NE,-4.83777777,-37.69972221,12.0,2014,2025,12,2007-11-10
A342,CRATEUS,CE,NE,-5.18666666,-40.67222221,298.19,2014,2026,13,2008-12-11
A347,CAMPOS SALES,CE,NE,-7.07777777,-40.36277777,577.95,2014,2026,13,2008-03-07
A358,JAGUARIBE,CE,NE,-5.90555555,-38.62777777,149.31,2014,2026,13,2008-09-10
A359,ITAPIPOCA,CE,NE,-3.48416666,-39.5886111,104.49,2014,2026,13,2008-09-05
A360,ACARAU,CE,NE,-3.1211111,-40.08722221,67.15,2014,2026,13,2009-04-22
A368,TIANGUA,CE,NE,-3.73222221,-41.01194444,756.0,2018,2026,9,2018-03-15
A369,QUIXADA,CE,NE,-4.97888888,-39.05722222,193.0,2018,2026,9,2018-03-20
A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1160.96,2014,2026,13,2000-05-07
A042,BRAZLANDIA,DF,CO,-15.6525,-48.20138888,1147.0,2017,2026,10,2017-07-19
A045,AGUAS EMENDADAS,DF,CO,-15.59638888,-47.62583332,1030.36,2014,2026,13,2008-10-03
A046,GAMA (PONTE ALTA),DF,CO,-15.93527777,-48.13749999,990.0,2014,2026,13,2014-10-01
A047,PARANOA (COOPA-DF),DF,CO,-16.01222222,-47.5575,1043.0,2017,2026,10,2017-02-07
A612,VITORIA,ES,SE,-20.27083332,-40.30583333,9.0,2014,2026,13,2006-10-31
