ano_agricola;safra;uf;produto;id_produto;id_levantamento;dsc_levantamento;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2017/18             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0.3;0.5;1.7
2017/18             ;UNICA          ;RO;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;RR;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;4.8;7.7;1.6
2017/18             ;UNICA          ;RS;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;SC;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;SE;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;0;0;0
2017/18             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;5.7;8.4;1.5
2017/18             ;UNICA          ;TO;ALGODAO EM PLUMA                        ;4586; 012;12º LEV             ;2.8;4.2;1.5
2018/19             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;332;597.6;1.8
2018/19             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1;0.3;0.3
2018/19             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;42.4;68.5;1.6
2018/19             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;27.7;41.1;1.5
2018/19             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;42;67.5;1.6
2018/19             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;37;67.7;1.8
2018/19             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1092.8;1868.7;1.7
2018/19             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;0.7;0.2;0.3
2018/19             ;UNICA          ;PI;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;16.1;24.8;1.5
2018/19             ;UNICA          ;PR;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;0.7;0.8;1.1
2018/19             ;UNICA          ;RN;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;0.3;0.4;1.3
2018/19             ;UNICA          ;RO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;5.2;7.4;1.4
2018/19             ;UNICA          ;RR;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;6;10.5;1.8
2018/19             ;UNICA          ;SP;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;9.9;16.2;1.6
2018/19             ;UNICA          ;TO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;4.4;7.1;1.6
2019/20             ;UNICA          ;AL;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;0.5;0.5;1
2019/20             ;UNICA          ;BA;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;313.7;596.7;1.9
2019/20             ;UNICA          ;CE;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;2.8;0.9;0.3
2019/20             ;UNICA          ;GO;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;35.5;60.1;1.7
2019/20             ;UNICA          ;MA;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;27.8;45.9;1.7
2019/20             ;UNICA          ;MG;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;38.1;64.5;1.7
2019/20             ;UNICA          ;MS;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;32;58.3;1.8
2019/20             ;UNICA          ;MT;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1166;2098.7;1.8
2019/20             ;UNICA          ;PB;ALGODAO EM PLUMA                        ;4586; 099;LEVANT              ;1.9;1.1;0.6
